ASY,PCB,Family,Top Priority 1,Top Priority 2,Top Priority 3,Bot Priority 1,Bot Priority 2,Bot Priority 3,# Circuits
92422201,92422291,POINT-3,SM7,,,SM7,,,6
92423201,92423291,FLEX-18,SM8,,,SM8,,,12
92423401,92423291,FLEX-18,SM8,,,SM8,,,12
92423801,,FLEX-24,SM8,,,SM8,,,12
92424001,,FLEX-24,SM8,,,SM8,,,12
92426801,92426891,POINT-19,SM8,,,,,,8
92427001,92427091,POINT-20,SM4,,,SM4,,,6
92427201,92426891,POINT-19,SM8,,,,,,
92427201,92426891,POINT-19,SM8,,,,,,8
92427601,92427691,POINT-11,SM8,,,SM8,,,8
92429201,92429291,POINT-10,SM8,,,SM8,,,8
92429401,92429491,POINT-4,SM8,,,SM5,,,6
92429601,92429691,POINT-55,SM8,,,SM8,,,8
92430601,92430691,POINT-22,SM7,,,SM7,,,8
92431401,92431491,POINT-21,SM8,,,SM4,,,10
92431601,92431691,POINT-50,SM1,,,SM2,,,
92431601,92431691,POINT-50,SM1,,,SM2,,,12
92436601,92436691,POINT-24,SM5,,,SM5,,,6
92436801,92436892,POINT-2,SM4,,,SM4,,,6
92452601,92452692,TB1,,,,SM7,,,6
92452801,92452891,TB1,,,,SM7,,,6
92475201,92475291,POINT-19,SM8,,,,,,8
92475401,92475491,POINT-22,SM7,,,SM7,,,8
93426401,93426491,OPT-2,SM1,,,SM1,,,24
93426401,93426491,OPT-2,SM1,,,SM1,,,24
93426401,93426491,OPT-2,SM1,,,SM1,,,24
93426801,93426891,OPT-26,SM4,,,SM4,,,24
93426801,93426891,OPT-26,SM4,,,SM4,,,24
93426801,93426891,OPT-26,SM4,,,SM4,,,24
93427801,93427891,OPT-17,SM6,,,SM6,,,24
93427801,93427891,OPT-17,SM6,,,SM6,,,24
93429001,93429091,OPT-10,SM4,,,SM8,,,3
93429001,93429091,OPT-10,SM4,,,SM8,,,3
93429001,93429091,OPT-10,SM4,,,SM8,,,3
93429201,93429291,OPT-10,SM4,,,SM8,,,3
93429201,93429291,OPT-10,SM4,,,SM8,,,3
93429201,93429291,OPT-10,SM4,,,SM8,,,3
93429401,93429491,OPT-10,SM4,,,SM8,,,3
93429401,93429491,OPT-10,SM4,,,SM8,,,3
93429401,93429491,OPT-10,SM4,,,SM8,,,3
93429401,93429491,OPT-10,SM4,,,SM8,,,3
93431201,93431291,OPT-5,SM1,,,SM1,,,9
93431201,93431291,OPT-5,SM1,,,SM1,,,9
93431201,93431291,OPT-5,SM1,,,SM1,,,9
93431401,93431491,OPT-7,SM1,,,SM4,,,9
93431601,93431691,OPT-7,SM8,,,SM8,,,9
93431601,93431691,OPT-7,SM8,,,SM8,,,9
93431601,93431691,OPT-7,SM8,,,SM8,,,9
93431801,93431491,OPT-7,SM1,,,SM4,,,9
93432201,93432291,OPT-27,SM8,,,SM8,,,24
93432201,93432291,OPT-27,SM8,,,SM8,,,24
93432201,93432291,OPT-27,SM8,,,SM8,,,24
93432401,93432491,OPT-1,SM1,,,SM1,,,24
93432401,93432491,OPT-1,SM1,,,SM1,,,24
93434401,94404491,MLX-29,SM1,,,SM8,,,30
93434401,93434491,MLX-29,SM1,,,SM8,,,30
93435001,93435091,OPT-3,SM1,,,SM1,,,3
93435001,93435091,OPT-3,SM1,,,SM1,,,3
93435601,93435691,OPT-15,SM4,,,,,,20
93435601,93435691,OPT-15,SM4,,,,,,20
93437401,93437491,OPT-9,SM8,,,SM8,,,50
93437401,93437491,OPT-9,SM8,,,SM8,,,50
96163004,96163094,FLEX-20,SM8,,,SM8,,,6
96177803,96177896,FLEX-32,SM8,,,SM8,,,6
96178001,96178091,NEEDS DEFINED,SM4,,,SM4,,,15
96189804,96189894,FLEX-30,SM8,,,SM8,,,6
96222806,96222895,FLEX-26,SM8,,,SM8,,,6
96255805,96255893,SLC-30,SM8,,,SM8,,,2
96268605,96268695,FLEX-19,SM8,,,SM8,,,6
96268804,96268893,FLEX-28,SM4,,,SM4,,,21
96282603,96282692,FLEX-40,SM8,,,SM8,,,6
96282803,,FLEX-42,SM8,,,SM8,,,6
96301201,,SLC-20,SM8,,,SM1,,,4
96301201,96301294,SLC-20,SM8,,,SM1,,,4
